token,term_freq,doc_freq,category,canonical_form
허벅지,1471,1128,OTHER,허벅지
조금,1468,1364,OTHER,조금
싱,1463,1167,OTHER,싱
버튼,1460,1036,OTHER,버튼
환불,1460,1019,OTHER,환불
유튜브,1458,1370,OTHER,유튜브
깡,1458,1254,OTHER,깡
아침,1457,1330,OTHER,아침
유명,1455,1161,OTHER,유명
창,1454,1154,OTHER,창
김,1451,1372,OTHER,김
턱,1451,1078,OTHER,턱
코드,1450,1225,OTHER,코드
컷,1450,1204,OTHER,컷
삼바,1450,1170,ITEM,삼바
모어,1449,1248,OTHER,모어
이제,1449,1352,OTHER,이제
도착,1448,1302,OTHER,도착
을,1445,1158,OTHER,을
초,1444,1307,OTHER,초
느,1443,1200,OTHER,느
프린팅,1438,1038,STYLE,프린팅
편집,1434,1161,OTHER,편집
저녁,1419,1311,OTHER,저녁
가슴,1416,1146,OTHER,가슴
맥스,1415,1252,OTHER,맥스
슬림,1413,1158,STYLE,슬림
의류,1412,1017,OTHER,의류
타이,1412,1051,ITEM,타이
매뉴얼,1411,1204,OTHER,매뉴얼
정리,1410,1174,OTHER,정리
파카,1409,983,ITEM,파카
폴리,1407,1006,OTHER,폴리
토마스,1406,1215,OTHER,토마스
시그니처,1400,1289,OTHER,시그니처
유니,1400,962,OTHER,유니
틱,1394,1203,OTHER,틱
이벤트,1394,1135,OTHER,이벤트
마감,1390,1053,OTHER,마감
와이프,1387,1053,OTHER,와이프
카시오,1382,1268,BRAND,카시오
라이트,1380,1082,STYLE,라이트
모,1379,1259,OTHER,모
저번,1375,1296,OTHER,저번
프리즘웍스,1372,1220,BRAND,프리즘웍스
선호,1368,1254,OTHER,선호
맥,1368,982,OTHER,맥
밈더워드로브,1363,1193,BRAND,밈더워드로브
스트레이트,1361,1135,STYLE,스트레이트
아이보리,1359,1102,STYLE,아이보리
텀,1354,1139,OTHER,텀
진행,1354,982,OTHER,진행
로퍼,1352,1068,ITEM,로퍼
pants,1349,857,ITEM,하의
종류,1349,1235,OTHER,종류
도전,1346,1252,OTHER,도전
솔,1343,1059,OTHER,솔
검은색,1341,1151,STYLE,블랙
대비,1337,1205,OTHER,대비
수아레,1337,1217,BRAND,수아레
성수,1337,860,OTHER,성수
애,1336,1149,OTHER,애
착용감,1335,1148,OTHER,착용감
ma,1331,979,ITEM,마원
감기,1329,1227,OTHER,감기
비니,1328,1145,ITEM,비니
자연,1322,1074,OTHER,자연
문,1319,1095,OTHER,문
"""고프코어",1314,1311,STYLE,고프코어
연출,1311,747,OTHER,연출
페이탈리즘,1310,1220,BRAND,페이탈리즘
러닝,1309,901,STYLE,러닝
박스,1308,974,OTHER,박스
신경,1306,1192,OTHER,신경
