token,term_freq,doc_freq,category,canonical_form
핏이,978,919,,
키뮤어,976,846,,
고,976,912,,
논,976,812,,
땀,975,835,,
피쉬,973,793,,
층,971,562,,
겸,971,881,,
oam,970,815,,
긴팔,969,844,,
러프,968,767,,
설명,968,804,,
리터,966,774,,
몰,966,823,,
우포스,965,845,,
기간,964,819,,
겟,962,855,,
초반,957,886,,
동,957,813,,
사이드,956,789,,
엉덩이,955,765,,
어제,954,913,,
판,953,760,,
맛집,952,854,,
타입,951,742,,
오른쪽,951,821,,
로그인,947,935,,
브라더스,946,699,,
브룩스,946,691,,
코듀로이,944,768,,
h,944,810,,
법,944,681,,
카고,943,824,,
결국,941,881,,
요새,937,860,,
컴퍼니,935,813,,
퍼티,935,747,,
유니폼,934,717,,
오렌지,934,712,,
새,929,815,,
케이스,928,679,,
남성,925,747,,
캐시미어,925,616,,
세계,922,583,,
러너,922,828,,
파이,921,780,,
하,918,835,,
퍼티그,918,727,,
상황,917,719,,
보이,916,792,,
년도,916,754,,
트러커,916,710,,
이전,915,753,,
스펙터,909,784,,
탄탄,905,801,,
랩,903,801,,
뮤지엄,902,806,,
인세인개러지,900,735,,
근본,899,773,,
어색,899,818,,
단점,898,754,,
각,897,782,,
프라이,896,723,,
해,894,792,,
브릭스,893,831,,
적립금,892,796,,
t,891,593,,
멘토,891,730,,
그거,891,838,,
아르,890,730,,
모이프,889,607,,
디스이즈네버댓,889,712,,
특징,889,662,,
예약,888,692,,
구찌,887,705,,
중반,885,820,,
페이,885,687,,
타이트,883,781,,
아더에러,882,702,,
본인,881,751,,
세대,880,513,,
테일러,879,755,,
후디,878,698,,
리복,877,741,,
뉴에라,875,793,,
앵글,875,733,,
부족,874,810,,
결혼식,873,725,,
팅,872,844,,
라이프,871,752,,
소비,871,707,,
특유,870,757,,
위치,869,599,,
범고래,868,749,,
얘,865,717,,
방,863,773,,
얘기,860,749,,
값,860,752,,
오브,857,697,,
냄새,857,580,,
뒷,857,761,,
size,857,404,,
재미,856,787,,
재생,856,671,,
올드,853,678,,
무,853,784,,
헤리티지,852,727,,
급,852,762,,
렉,850,622,,
최대,849,743,,
자리,848,637,,
해칭,844,736,,
헨리,841,606,,
자수,839,644,,
악,839,755,,
파타고니아,838,618,,
빔즈,837,627,,
뿐,837,775,,
기회,837,776,,
내부,836,641,,
분류,836,633,,
nike,835,664,,
인치,835,625,,
이하,834,778,,
동네,832,754,,
마켓,831,601,,
내용,830,628,,
취소,830,635,,
개시,829,765,,
협업,826,511,,
인생,826,765,,
질감,824,703,,
꿀,824,748,,
수트,822,536,,
고려,821,727,,
로드,820,694,,
헤비,820,647,,
건,820,739,,
스퀘어,819,629,,
혼자,818,729,,
인세,817,680,,
이야기,816,660,,
밑창,815,644,,
키로,815,764,,
마라탕,813,676,,
태,812,769,,
중간,811,697,,
거울,811,743,,
폴,809,710,,
학교,809,664,,
습,808,747,,
시리즈,808,650,,
무태,808,660,,
트랙,807,615,,
친절,807,655,,
베이스,806,701,,
향수,806,472,,
prt,806,601,,
노드,805,691,,
클로,805,657,,
내,804,685,,
필,804,691,,
행사,804,614,,
표현,803,620,,
로그,803,667,,
성공,802,721,,
영,799,722,,
이즈,799,682,,
금액,798,668,,
bogeun,796,796,,
스캇,794,666,,
g,793,558,,
모양,791,682,,
택배,791,647,,
실패,791,701,,
놈,790,688,,
보드,790,681,,
주변,786,719,,
그레일즈,786,609,,
기념,786,719,,
xt,785,683,,
영입,785,686,,
포터리,784,638,,
쉐,784,694,,
잇,783,730,,
거래,783,526,,
인터넷,782,663,,
