YEAR,TOKEN_TYPE,token,count,share
2023,BRAND,조셉앤스테이시,754,0.6460845051112654
2023,BRAND,주앙옴므,1302,1.1156525539189224
2023,BRAND,지샥,222,0.19022647232718953
2023,BRAND,지오다노,181,0.15509455626676263
2023,BRAND,챔피온,208,0.17823020830655595
2023,BRAND,카시오,316,0.27077281646572926
2023,BRAND,칼하트wip,191,0.1636633162815009
2023,BRAND,캐피탈,350,0.29990660051583934
2023,BRAND,캡틴선샤인,116,0.0993976161709639
2023,BRAND,컨버스,2121,1.8174339991259862
2023,BRAND,코스,1127,0.9656992536610027
2023,BRAND,쿠어,1441,1.2347583181237842
2023,BRAND,크롬하츠,235,0.2013658603463493
2023,BRAND,클락스,724,0.6203782250670505
2023,BRAND,키뮤어,449,0.3847373246617482
2023,BRAND,키스,69,0.05912444410169404
2023,BRAND,키코,189,0.16194956427855325
2023,BRAND,킨치,500,0.4284380007369134
2023,BRAND,테켓,206,0.17651645630360832
2023,BRAND,토니웩,1104,0.9459911056271046
2023,BRAND,토피,324,0.2776278244775198
2023,BRAND,톰브라운,163,0.13967078824023374
2023,BRAND,팀버랜드,440,0.37702544064848376
2023,BRAND,파라부트,87,0.07454821212822292
2023,BRAND,파르티멘토,310,0.26563156045688624
2023,BRAND,파타고니아,160,0.13710016023581229
2023,BRAND,팔라스,165,0.14138454024318142
2023,BRAND,페몬트,311,0.26648843645836007
2023,BRAND,페이탈리즘,487,0.4172986127177536
2023,BRAND,포터,1389,1.1902007660471452
2023,BRAND,포터리,184,0.15766518427118412
2023,BRAND,포트너스,398,0.34103664858658306
2023,BRAND,폴로,1728,1.4806817305467725
2023,BRAND,푸마,464,0.3975904646838556
2023,BRAND,프라다,345,0.29562222050847026
2023,BRAND,프라이탁,270,0.23135652039793322
2023,BRAND,프로젝트지알,355,0.3041909805232085
2023,BRAND,프리즘웍스,500,0.4284380007369134
2023,BRAND,플랙,760,0.6512257611201083
2023,BRAND,해칭룸,1049,0.8988629255460443
2023,BRAND,헤리티지플로스,372,0.31875787254826354
2023,BRAND,헤지스,129,0.11053700419012365
2023,BRAND,호카,91,0.07797571613411823
2023,BRAND,휴먼메이드,484,0.4147279847133321
2024,BRAND,acg,292,0.32008418652577114
2024,BRAND,cp컴퍼니,140,0.15346502093701356
2024,BRAND,etce,1440,1.5784973582092827
2024,BRAND,jw앤더슨,209,0.22910135268454168
2024,BRAND,lee,171,0.1874465612873523
2024,BRAND,lmc,61,0.06686690197969877
2024,BRAND,mlb,85,0.09317519128318681
2024,BRAND,mmgl,37,0.040558612676210734
2024,BRAND,mmrb,104,0.1140025869817815
2024,BRAND,mngu,50,0.05480893604893342
2024,BRAND,new,162,0.17758095279854427
2024,BRAND,oam,190,0.208273956985947
2024,BRAND,rrl,2548,2.793063381053647
2024,BRAND,ymclky,184,0.20169688466007496
2024,BRAND,구찌,161,0.1764847740775656
2024,BRAND,굿라이프웍스,43,0.04713568500208274
2024,BRAND,그라더스,364,0.3990090544362353
2024,BRAND,그라미치,151,0.16552298686777892
2024,BRAND,그레일즈,80,0.08769429767829347
2024,BRAND,그리쉬,193,0.211562493148883
2024,BRAND,꼼데가르송,435,0.47683774362572073
2024,BRAND,나나미카,680,0.7454015302654945
2024,BRAND,나이키,3139,3.4409050051520405
2024,BRAND,네이더스,68,0.07454015302654945
2024,BRAND,노메뉴얼,96,0.10523315721395216
2024,BRAND,노스페이스,779,0.8539232236423826
2024,BRAND,뉴발란스,2352,2.578212351741828
2024,BRAND,뉴에라,249,0.2729485015236884
2024,BRAND,뉴치프시크,89,0.09755990616710149
2024,BRAND,다이브인,179,0.19621599105518164
2024,BRAND,닥터마틴,920,1.008484423300375
2024,BRAND,더뮤지엄비지터,229,0.25102492710411506
2024,BRAND,더콜디스트모먼트,122,0.13373380395939755
2024,BRAND,던스트,73,0.08002104663144279
2024,BRAND,데우스엑스마키나,201,0.22033192291671233
2024,BRAND,도프제이슨,514,0.5634358625830356
2024,BRAND,드레익스,530,0.5809747221186943
2024,BRAND,드로우핏,254,0.2784293951285818
2024,BRAND,디스이즈네버댓,301,0.32994979501457916
2024,BRAND,디앤써,333,0.36502751408589657
2024,BRAND,디젤,200,0.2192357441957337
2024,BRAND,디키즈,557,0.6105715475851182
2024,BRAND,라코스테,151,0.16552298686777892
2024,BRAND,라퍼지스토어,179,0.19621599105518164
2024,BRAND,라프시몬스,82,0.0898866551202508
2024,BRAND,랄프로렌,739,0.8100760748032358
2024,BRAND,레드윙,902,0.9887532063227589
2024,BRAND,로맨틱무브,579,0.6346874794466489
2024,BRAND,루이비통,71,0.07782868918948545
2024,BRAND,르메르,816,0.8944818363185935
2024,BRAND,리넥츠,408,0.44724091815929673
2024,BRAND,리바이스,2440,2.6746760791879507
2024,BRAND,리복,226,0.24773639094117905
2024,BRAND,리얼 맥코이,249,0.2729485015236884
2024,BRAND,릭오웬스,421,0.46149124153201937
2024,BRAND,마틴로즈,1360,1.490803060530989
2024,BRAND,마틴플랜,186,0.20388924210203233
2024,BRAND,메종마르지엘라,489,0.5360313945585689
2024,BRAND,메종미네드,374,0.40997084164602193
2024,BRAND,메종키츠네,79,0.0865981189573148
2024,BRAND,모드나인,905,0.9920417424856949
2024,BRAND,모스콧,175,0.19183127617126697
2024,BRAND,모이프,311,0.34091158222436585
2024,BRAND,몽벨,206,0.22581281652160567
2024,BRAND,무신사,73,0.08002104663144279
2024,BRAND,무인양품,293,0.32118036524674987
2024,BRAND,무탠다드,1326,1.4535329840177142
2024,BRAND,문선,52,0.05700129349089075
2024,BRAND,미나브,99,0.10852169337688816
2024,BRAND,미하라야스히로,481,0.5272619647907395
2024,BRAND,밈더워드로브,294,0.3222765439677285
2024,BRAND,바라쿠타,188,0.20608159954398964
2024,BRAND,바버,732,0.8024028237563853
2024,BRAND,반스,1513,1.6585184048407253
2024,BRAND,발렌시아가,1148,1.2584131716835112
2024,BRAND,버버리,163,0.17867713151952294
2024,BRAND,버윅,197,0.21594720803279768
2024,BRAND,버즈릭슨,677,0.7421129941025585
2024,BRAND,버켄스탁,341,0.3737969438537259
2024,BRAND,베이프,212,0.2323898888474777
2024,BRAND,보테가베네타,70,0.07673251046850678
2024,BRAND,브라운야드,379,0.4154517352509153
2024,BRAND,브랜디드,542,0.5941288667704383
2024,BRAND,브론슨,682,0.7475938877074518
2024,BRAND,브룩스브라더스,917,1.005195887137439
2024,BRAND,블랭크룸,283,0.3102185780369631
2024,BRAND,비긴202,244,0.2674676079187951
2024,BRAND,비바스튜디오,107,0.11729112314471753
2024,BRAND,비얼디드키드,53,0.05809747221186942
2024,BRAND,비이커,182,0.19950452721811765
2024,BRAND,빔즈,381,0.41764409269287267
2024,BRAND,사카이,75,0.08221340407340014
2024,BRAND,생로랑,121,0.13263762523841885
2024,BRAND,샤카웨어,71,0.07782868918948545
2024,BRAND,세인트제임스,230,0.2521211058250937
2024,BRAND,세터,251,0.2751408589656458
2024,BRAND,소니,46,0.05042422116501874
2024,BRAND,솔리드옴므,130,0.1425032337272269
2024,BRAND,수아레,195,0.21375485059084032
2024,BRAND,슈펜,127,0.1392146975642909
2024,BRAND,슈프림,1439,1.5774011794883038
2024,BRAND,스캇,122,0.13373380395939755
2024,BRAND,스톤아일랜드,742,0.8133646109661719
2024,BRAND,스투시,1485,1.6278254006533224
2024,BRAND,스튜디오니콜슨,99,0.10852169337688816
2024,BRAND,아노블리어,42,0.04603950628110407
2024,BRAND,아더에러,645,0.7070352750312411
2024,BRAND,아디다스,2146,2.3523995352202225
2024,BRAND,아르켓,130,0.1425032337272269
2024,BRAND,아미,107,0.11729112314471753
2024,BRAND,아스토플렉스,218,0.23896696117334967
2024,BRAND,아식스,1441,1.579593536930261
2024,BRAND,아워레가시,616,0.6752460921228597
2024,BRAND,아워셀브스,173,0.18963891872930963
2024,BRAND,아워스코프,49,0.053712757327954753
2024,BRAND,아이언레인저,234,0.2565058207090084
2024,BRAND,아크테릭스,824,0.9032512660864227
2024,BRAND,아트이프액츠,228,0.24992874838313642
2024,BRAND,아페쎄,88,0.09646372744612282
2024,BRAND,아프레쎄,186,0.20388924210203233
2024,BRAND,안데르센,207,0.22690899524258437
2024,BRAND,알렌느,176,0.19292745489224564
2024,BRAND,애쉬크로프트,240,0.2630828930348804
2024,BRAND,애프터프레이,462,0.5064345690921448
2024,BRAND,애플,251,0.2751408589656458
2024,BRAND,앤더슨벨,633,0.6938811303794971
2024,BRAND,어나더오피스,198,0.21704338675377632
2024,BRAND,어널러코드,117,0.1282529103545042
2024,BRAND,언더마이카,133,0.14579176989016288
2024,BRAND,언타이틀,153,0.16771534430973625
2024,BRAND,에센셜,76,0.08330958279437879
2024,BRAND,에스티유오피스,224,0.24554403349922171
2024,BRAND,에스피오나지,515,0.5645320413040141
2024,BRAND,엑슬림,156,0.17100388047267226
2024,BRAND,예일,107,0.11729112314471753
2024,BRAND,오가프,83,0.09098283384122947
2024,BRAND,오어슬로우,1423,1.5598623199526451
2024,BRAND,오클리,265,0.29048736105934714
2024,BRAND,와일드브릭스,214,0.23458224628943505
2024,BRAND,요시다포터,164,0.1797733102405016
2024,BRAND,우영미,134,0.14688794861114157
2024,BRAND,우포스,138,0.15127266349505625
2024,BRAND,웨이비니스,119,0.13044526779646154
2024,BRAND,위더로드,82,0.0898866551202508
2024,BRAND,위캔더스,156,0.17100388047267226
2024,BRAND,유니온,948,1.0391774274877776
2024,BRAND,유니클로,5317,5.82838225944358
2024,BRAND,유니폼브릿지,907,0.9942340999276522
2024,BRAND,유스,410,0.449433275601254
2024,BRAND,이얼즈어고,272,0.2981606121061978
2024,BRAND,이지,260,0.2850064674544538
2024,BRAND,인세인개러지,318,0.34858483327121653
2024,BRAND,일꼬르소,122,0.13373380395939755
2024,BRAND,자라,721,0.7903448578256198
2024,BRAND,자바나스,446,0.4888957095564861
2024,BRAND,젠틀몬스터,833,0.9131168745752307
