token,count,share,SOURCE,TOKEN_TYPE,total_share,delta,COMMUNITY
프라이탁,369,0.2888928904164285,ZZ,BRAND,0.2907569751978619,-0.001864084781433406,Z9DY
프로젝트지알,229,0.17928583172184862,ZZ,BRAND,0.1564819955327747,0.022803836189073917,Z9DY
프리즘웍스,428,0.33508443658057296,ZZ,BRAND,0.36977263630847096,-0.034688199727897995,Z9DY
플랙,654,0.512021545616109,ZZ,BRAND,0.6336746155733155,-0.12165306995720648,Z9DY
해칭룸,1678,1.313718889210751,ZZ,BRAND,0.722760900158806,0.590957989051945,Z9DY
헤리티지플로스,201,0.15736441998293263,ZZ,BRAND,0.2685499593301744,-0.11118553934724176,Z9DY
헤지스,109,0.08533692426935152,ZZ,BRAND,0.11129330045317805,-0.025956376183826527,Z9DY
호카,153,0.11978485700193378,ZZ,BRAND,0.13943940195989826,-0.01965454495796448,Z9DY
휴먼메이드,375,0.29359033578905336,ZZ,BRAND,0.3390443236543452,-0.04545398786529187,Z9DY
acc,40,0.023104826598276382,ZZ,ITEM,0.1021734407964742,-0.07906861419819781,Z9DY
bottom,88,0.050830618516208036,ZZ,ITEM,0.09591416694587937,-0.045083548429671334,Z9DY
outer,46,0.026570550588017838,ZZ,ITEM,0.0773204416838183,-0.050749891095800456,Z9DY
가디건,2131,1.2309096370231742,ZZ,ITEM,1.0900341314521147,0.14087550557105954,Z9DY
가방,7086,4.093020031884661,ZZ,ITEM,4.417758664491876,-0.3247386326072146,Z9DY
가젤,292,0.16866523416741758,ZZ,ITEM,0.15408859449846649,0.014576639668951091,Z9DY
구두,525,0.3032508491023775,ZZ,ITEM,0.3685607720262006,-0.0653099229238231,Z9DY
긴팔티,617,0.35639195027841314,ZZ,ITEM,0.3720586015309447,-0.015666651252531583,Z9DY
나이키덩크,906,0.5233243224509601,ZZ,ITEM,0.5106831076926476,0.01264121475831248,Z9DY
나이키덩크범고래,423,0.2443335412767727,ZZ,ITEM,0.19900808919097046,0.04532545208580224,Z9DY
넥타이,147,0.0849102377486657,ZZ,ITEM,0.1156124699462807,-0.030702232197615004,Z9DY
눕시,247,0.14267230424435665,ZZ,ITEM,0.13218113602138462,0.010491168222972025,Z9DY
니트,5248,3.031353249693861,ZZ,ITEM,2.7144997919711926,0.31685345772266826,Z9DY
더비,1775,1.0252766802985143,ZZ,ITEM,0.7662087578286948,0.25906792246981947,Z9DY
더플백,183,0.10570458168711444,ZZ,ITEM,0.09462549291781573,0.011079088769298709,Z9DY
데님,4789,2.7662253644786396,ZZ,ITEM,3.537410207034687,-0.7711848425560475,Z9DY
독일군스니커즈,726,0.4193526027587163,ZZ,ITEM,0.3588036686708616,0.06054893408785467,Z9DY
럭비,89,0.051408239181164946,ZZ,ITEM,0.09075947083362482,-0.03935123165245987,Z9DY
로퍼,347,0.20043437074004758,ZZ,ITEM,0.29160852292182904,-0.09117415218178146,Z9DY
마원,820,0.4736489452646658,ZZ,ITEM,0.49227347872030985,-0.018624533455644077,Z9DY
맨투맨,1501,0.8670086181003211,ZZ,ITEM,0.815730659764283,0.0512779583360381,Z9DY
머플러,795,0.45920842864074307,ZZ,ITEM,0.3996730449894513,0.059535383651291796,Z9DY
모자,3146,1.8171946119544373,ZZ,ITEM,2.2098918618394165,-0.3926972498849792,Z9DY
모크넥,84,0.048520135856380396,ZZ,ITEM,0.07363851588935076,-0.025118380032970365,Z9DY
목걸이,790,0.45632032531595856,ZZ,ITEM,0.43483543632661625,0.02148488898934231,Z9DY
목도리,208,0.12014509831103717,ZZ,ITEM,0.11303512189015343,0.0071099764208837485,Z9DY
무스탕,230,0.13285275294008916,ZZ,ITEM,0.17581195668582497,-0.04295920374573581,Z9DY
바람막이,1177,0.6798595226542825,ZZ,ITEM,0.6496758064337972,0.030183716220485324,Z9DY
바시티,733,0.4233959474134147,ZZ,ITEM,0.3785019716712629,0.04489397574215176,Z9DY
바지,13874,8.013909105612163,ZZ,ITEM,10.378980622024542,-2.36507151641238,Z9DY
반바지,1057,0.6105450428594533,ZZ,ITEM,0.8284333037551961,-0.21788826089574276,Z9DY
반지,623,0.3598576742681546,ZZ,ITEM,0.2577348056127277,0.10212286865542691,Z9DY
반팔티,4500,2.5992929923060926,ZZ,ITEM,2.346675405103886,0.25261758720220673,Z9DY
버뮤다,579,0.3344423650100506,ZZ,ITEM,0.2995246633799342,0.03491770163011637,Z9DY
베스트,792,0.4574755666458723,ZZ,ITEM,0.5443727287120256,-0.08689716206615328,Z9DY
벨트,1326,0.7659250017328619,ZZ,ITEM,0.9074106120465247,-0.1414856103136628,Z9DY
봄버,553,0.31942422772117096,ZZ,ITEM,0.18777821551784446,0.1316460122033265,Z9DY
부츠,1544,0.8918463066934683,ZZ,ITEM,1.0556081252738432,-0.16376181858037486,Z9DY
블랙잭,5,0.0028881033247845477,ZZ,ITEM,0.12794692135774696,-0.12505881803296243,Z9DY
블레이저,1512,0.8733624454148471,ZZ,ITEM,0.7034319230330233,0.16993052238182382,Z9DY
비니,430,0.2483768859314711,ZZ,ITEM,0.28240370843566015,-0.034026822504189064,Z9DY
삭스,126,0.0727802037845706,ZZ,ITEM,0.08413200440358325,-0.011351800619012642,Z9DY
삼바,568,0.3280885376955246,ZZ,ITEM,0.35272849110999016,-0.024639953414465565,Z9DY
상의,1982,1.1448441579445947,ZZ,ITEM,2.7526077239439317,-1.607763565999337,Z9DY
샌들,406,0.23451398997250528,ZZ,ITEM,0.2315931324720082,0.002920857500497087,Z9DY
선글라스,522,0.30151798710750677,ZZ,ITEM,0.43888555470053053,-0.13736756759302376,Z9DY
셋업,664,0.3835401215313879,ZZ,ITEM,0.46870915363571763,-0.08516903210432974,Z9DY
셔츠,6424,3.7106351516831864,ZZ,ITEM,4.5617219630555566,-0.8510868113723702,Z9DY
숄더백,143,0.08259975508883806,ZZ,ITEM,0.09720284097394301,-0.01460308588510495,Z9DY
수트,163,0.09415216838797624,ZZ,ITEM,0.1723141271810808,-0.07816195879310456,Z9DY
슈트,302,0.17444144081698668,ZZ,ITEM,0.15040666870399894,0.02403477211298774,Z9DY
스니커즈,804,0.4644070146253552,ZZ,ITEM,0.4079573780270032,0.056449636598352004,Z9DY
스웨터,91,0.05256348051107877,ZZ,ITEM,0.09517778178698587,-0.042614301275907096,Z9DY
스웻,552,0.31884660705621404,ZZ,ITEM,0.4635544575234631,-0.14470785046724904,Z9DY
스웻셔츠,58,0.03350199856750075,ZZ,ITEM,0.09370501146919885,-0.0602030129016981,Z9DY
스카프,77,0.04447679120168203,ZZ,ITEM,0.12168764750715214,-0.07721085630547012,Z9DY
스트랩,208,0.12014509831103717,ZZ,ITEM,0.09499368549726249,0.025151412813774685,Z9DY
슬랙스,2021,1.1673713638779142,ZZ,ITEM,0.8772188205318909,0.29015254334602325,Z9DY
슬리퍼,466,0.2691712298699198,ZZ,ITEM,0.34702150612856547,-0.07785027625864566,Z9DY
슬립온,203,0.11725699498625264,ZZ,ITEM,0.146540646619808,-0.02928365163355537,Z9DY
시계,516,0.2980522631177653,ZZ,ITEM,0.43520362890606307,-0.13715136578829779,Z9DY
신발,9954,5.749636098981077,ZZ,ITEM,7.103355338976498,-1.3537192399954208,Z9DY
아디다스슈퍼스타,376,0.21718537002379795,ZZ,ITEM,0.2781694937720225,-0.06098412374822454,Z9DY
