SEASON_YEAR,YEAR,SEASON,TOKEN_TYPE,token,count,share
2022-Spring,2022,Spring,BRAND,자라,318,0.6254179286472878
2022-Spring,2022,Spring,BRAND,자바나스,933,1.83495260197459
2022-Spring,2022,Spring,BRAND,젠틀몬스터,543,1.0679306140109348
2022-Spring,2022,Spring,BRAND,조던,1569,3.085788459269166
2022-Spring,2022,Spring,BRAND,조셉앤스테이시,339,0.6667191126145616
2022-Spring,2022,Spring,BRAND,주앙옴므,502,0.9872949691224481
2022-Spring,2022,Spring,BRAND,지샥,33,0.06490186052000158
2022-Spring,2022,Spring,BRAND,지오다노,173,0.3402430869684931
2022-Spring,2022,Spring,BRAND,챔피온,86,0.16913818196121622
2022-Spring,2022,Spring,BRAND,카시오,195,0.3835109939818275
2022-Spring,2022,Spring,BRAND,칼하트wip,56,0.11013649057939662
2022-Spring,2022,Spring,BRAND,캐피탈,14,0.027534122644849154
2022-Spring,2022,Spring,BRAND,캡틴선샤인,4,0.007866892184242615
2022-Spring,2022,Spring,BRAND,컨버스,1503,2.9559847382291626
2022-Spring,2022,Spring,BRAND,코스,650,1.278369979939425
2022-Spring,2022,Spring,BRAND,쿠어,672,1.3216378869527594
2022-Spring,2022,Spring,BRAND,크롬하츠,67,0.1317704440860638
2022-Spring,2022,Spring,BRAND,클락스,218,0.4287456240412225
2022-Spring,2022,Spring,BRAND,키뮤어,99,0.19470558156000473
2022-Spring,2022,Spring,BRAND,키스,6,0.011800338276363922
2022-Spring,2022,Spring,BRAND,키코,49,0.09636942925697203
2022-Spring,2022,Spring,BRAND,킨치,39,0.0767021987963655
2022-Spring,2022,Spring,BRAND,테켓,72,0.14160405931636708
2022-Spring,2022,Spring,BRAND,토니웩,338,0.6647523895685009
2022-Spring,2022,Spring,BRAND,토피,415,0.8161900641151713
2022-Spring,2022,Spring,BRAND,톰브라운,49,0.09636942925697203
2022-Spring,2022,Spring,BRAND,팀버랜드,105,0.20650591983636862
2022-Spring,2022,Spring,BRAND,파라부트,41,0.0806356448884868
2022-Spring,2022,Spring,BRAND,파르티멘토,247,0.48578059237698146
2022-Spring,2022,Spring,BRAND,파타고니아,59,0.11603665971757857
2022-Spring,2022,Spring,BRAND,팔라스,75,0.14750422845454902
2022-Spring,2022,Spring,BRAND,페몬트,36,0.07080202965818354
2022-Spring,2022,Spring,BRAND,페이탈리즘,277,0.5447822837588011
2022-Spring,2022,Spring,BRAND,포터,435,0.8555245250363843
2022-Spring,2022,Spring,BRAND,포터리,69,0.1357038901781851
